STT​,Đề Tài​,Mô Tả Chi Tiết & Gợi Ý Áp Dụng Tìm Kiếm​,Nhóm,Comments,add,lim,rank
1​,Giao hàng trong thành phố Hà Nội​,"Cho bản đồ đơn giản (quận, đường chính), tìm đường đi ngắn nhất từ kho → danh sách khách hàng. Áp dụng BFS (nếu chi phí bằng nhau), GBFS (heuristic = khoảng cách Euclidean), A*. So sánh số node mở rộng, đường đi tìm được.​",5,- Bám sát bài toán thực tế (prob def.) nhưng chưa so sánh được hiệu suất các phương pháp (tổng hợp so sánh thành 1 bảng),- Bám sát bài toán thực tế. Prolem definition. Giới thiệu libs. Tính toán thời gian. Kết luận ý nghĩa.,- Time control / chuẩn bị (mờ). Organization. Bài toán thực tế chưa cụ thể. So sánh.,3
2​,Kế hoạch tham quan Hà Nội trong 1 ngày​,"Cho danh sách 6–8 điểm du lịch, thời gian mở cửa, thời gian di chuyển. Tìm thứ tự tối ưu để tham quan tối đa số điểm trong giới hạn thời gian. Áp dụng Greedy (chọn điểm gần nhất), so sánh với A* (tối ưu hóa tổng thời gian).​",7,- Excelent visualization but slow presentation. Good in data presentation.,"- Clearly problem definition, inovated visualization. Clear data presentation. Meaninfull disscussion & conclusion. Application.","- Preparing, slow in literature review. Time management is a big drawback.",3
3​,Robot giao hàng trong khuôn viên trường​,"Bản đồ tòa nhà/khuôn viên được biểu diễn bằng ma trận. Tìm đường robot từ canteen → từng lớp học. Áp dụng BFS, GBFS (Manhattan), A*. Hiển thị đường đi trên ma trận.​",,,,,
4​,Game Pac-Man tìm thức ăn​,Mô phỏng bản đồ Pac-Man với vài “dot” cần ăn. Tìm đường ngắn nhất để ăn hết. Áp dụng A* với heuristic = tổng khoảng cách Manhattan đến các dot. Có thể code trên lưới 5x5.​,8,- Trực quan nhưng cần ngắn gọn hơn,"- Giới thiệu bài toán rõ ràng, có tính liên kết. Tạo được motavation. Biễu diễn trực quan.",- Một số phần không cần thiết. Giải thích function ?. Slide tiếng Việt. Time management. Thảo luận sau kết luận? Slide có thể ngắn hơn nhiều nếu biết cách tổ chức.,2
5​,Đi chợ thông minh​,"Cho danh sách chợ/siêu thị, mỗi nơi có một số nguyên liệu cần mua. Tìm đường đi ngắn nhất để mua hết nguyên liệu. Áp dụng Greedy (chọn chợ gần nhất trước), so sánh với A*.​",9,GOOD,- Matching the real-world problem. Good presentation skill. Dataset presentation. Excellent results presentation. Strong in the exp. Nearly reaching to the quality of scientific conference presentation. I'm looking forward to reading your report. Limtation & trade-off discussion.,"- Minor edition: In the introduction about algorithms, it better to use visualization methods (Figure/ algorithms) instead of code.",1
6​,Thoát khỏi mê cung​,"Cho mê cung (5×5 hoặc 7×7), có nhiều lối ra. Tìm đường ra ngắn nhất. So sánh BFS, DFS, GBFS.​",6,GOOD,"- Đặt vấn đề tốt, tạo được motivation. Clear problem formulation. Literature review ngắn gọn. BM function là một big add-on. Giải thích rõ ràng. Clinical implication. ",- Minor edition: in BM func: count number of iterations/ cost. Bảng so sánh?,1
7​,Giải 8-Puzzle​,"Trạng thái ban đầu → trạng thái đích. Áp dụng BFS, GBFS (heuristic = số ô sai vị trí), A* (heuristic = khoảng cách Manhattan). So sánh số node mở rộng và chiều sâu lời giải.​",10,- Giải thích và thí nghiệm tốt nhưng phần trình bày nặng về lý thuyết.,- Giải thích lý thuyết khá rõ ràng. Thiết kế thí nghiệm tốt. Mạnh phần exp & discussion. So sánh được và đưa ra nhận định tốt.,- 8-puzzle liên hệ thế nào với hệ thống thực tế? Thiên về lý thuyết.,2
8​,Giải toán N-Queens (4 ≤ N ≤ 8)​,"Tìm cách đặt N quân hậu không tấn công nhau. Áp dụng DFS, Hill-Climbing hoặc Beam Search. So sánh số lần backtrack giữa các phương pháp.​",3,- Giải thích dễ hiểu nhưng nặng lý thuyết,"- Giải thích algorithm rõ ràng, minh hoạ tốt, dễ hiểu. Thiết kế thí nghiệm rõ ràng","- Nặng về lý thuyết, chiếm dụng khá nhiều thời gian trình bày. Tạo motivation. Add metrics.",
9​,Giải Sudoku 4×4 hoặc 6×6​,"Biểu diễn bài toán như tìm kiếm trạng thái. Áp dụng DFS với backtracking, so sánh với chiến lược chọn ô có ít khả năng nhất (MRV heuristic).​",,,,,
10​,Tìm đường đi an toàn khi có sự cố giao thông​,Cho bản đồ với một số đường bị “chặn”. Tìm đường thay thế từ nhà đến nơi làm việc. So sánh Greedy vs A*. Có thể thêm biến động ngẫu nhiên (random blocked edge) để nhóm thử nhiều kịch bản.​,1,- Applicability is a big strength. Strong experiment,"- Problem definition, matching real-world problem. State the motivation. Applicability is a big strength. Strong experiment. Random block gen function. Intensive experiment & clearly explaination in this part.","- Method section should be add the Figure to visualize the proposed method. Heavy on theory, too much text. Bc you show codes, It better to explain more about some functions.  Purpose of each validation strategies (eg. box-plot, histogram)",2
11​,Thu gom rác tối ưu​,"Có N thùng rác trong một khu phố, xe rác xuất phát từ trạm. Tìm lộ trình đi qua tất cả thùng rác với quãng đường ngắn nhất. So sánh Greedy với A*.​",2,- Mạnh về TECH,"- State được dạng bài toán (TSP). Mô tả rõ ràng bài toán. Giải thích dễ hiểu & tạo được sự hứng thú. Trong một số phần giải thích lý thuyết, matching được được ứng dụng. Thiết kế thí nghiệm mạnh, phân loại theo bài toán. Trực quan hoá tốt. Bảng đánh giá. Phần mở rộng","- Sai chính tả. Slide tiếng Việt. Mỗi note trong graph nên để tên một địa điểm thay vì A, B, C. Nặng theory. Vẫn còn khoản cách giữa ứng dụng và theory. Gợi ý: implement các hàm heuristic mở rộng cho A* và so sánh với report.",3
12​,Phân chia khu vực (Graph Partitioning)​,"Cho đồ thị (10–12 đỉnh), chia thành 2 nhóm có số đỉnh cân bằng, số cạnh nối giữa hai nhóm là ít nhất. Áp dụng Hill-Climbing hoặc Simulated Annealing.​",,,,,
13​,Phân công ca trực trong bệnh viện​,"Cho danh sách bác sĩ và ca trực. Tìm cách phân công thỏa mãn số ca cân bằng, số bác sĩ mỗi ca tối ưu. Biểu diễn như tìm kiếm ràng buộc, áp dụng backtracking + heuristic.​",,,,,
14​,Tránh “bẫy” trong game (Pathfinding with traps)​,Bản đồ có các ô nguy hiểm (tăng chi phí hoặc không thể đi qua). Tìm đường đi an toàn nhất. Áp dụng BFS (đơn giản) vs A* (chi phí động).​,,,,,
15​,Lập kế hoạch cứu trợ khẩn cấp​,"Cho bản đồ sau thiên tai, một số khu vực cần cứu trợ. Tìm lộ trình xe cứu trợ đến các điểm trong thời gian ngắn nhất. Áp dụng Greedy (chọn điểm gần nhất), A* với heuristic khoảng cách + penalty cho khu vực khó đi.​",,,,,
16,Tìm đường đi cho 2 robots không va chạm (Multi-agent Path Finding),"Cho đồ thị (10-12 đỉnh), 2 robots với initial node và goal node khác nhau. Tìm đường đi tối ưu để 2 robots đi đến goal nodes sao cho không có va chạm. Áp dụng BFS và A* ",4,"You mention about the application, but not clearly application in your project. Cannot connect from theory to application.","- Interesting topic, matching the real-world problem, knowing how to state the background.","- Map simulation: just provide graph, not map, map should have specific places. heavy theory, read the slide. The topic is interesting so you should make a better presentation. You mention about the application, but not clearly application in your project. Cannot connect from theory to application.",3